DTXSID,CASRN,MOLECULAR FORMULA,MONOISOTOPIC MASS,HIT CALL,PXR_Emax,PXR_assay
DTXSID0027983,34590-94-8,C7H16O3,148.109944,Inactive,0,0
DTXSID0028030,52829-07-9,C28H52N2O4,480.392708,Active,64.69881506,1.173993404
DTXSID0028038,55406-53-6,C8H12INO2,280.99127,Inactive,0,0
DTXSID0028323,67762-27-0,, ,Inactive,0,0
DTXSID0028618,68479-98-1,, ,Active,51.73819167,1.009481736
DTXSID0028666,68515-49-1,, ,Inactive,0,0
DTXSID0029133,99-93-4,C8H8O2,136.052429,Inactive,0,0
DTXSID0029187,581-42-0,C12H12,156.0939,Inactive,0,0
DTXSID0029189,593-85-1,C3H12N6O3,180.097088,Inactive,0,0
DTXSID0029210,1118-46-3,C4H9Cl3Sn,281.879185,Inactive,0,0
DTXSID0029214,1335-46-2,, ,Active,29.11906491,0.778413812
DTXSID0029218,1585-07-5,C8H9Br,183.988763,Inactive,0,0
DTXSID0029260,3699-54-5,C5H10N2O2,130.074228,Inactive,0,0
DTXSID0029262,4130-42-1,C16H26O,234.198365,Active,88.52055639,0.58298632
DTXSID0029474,68609-96-1,, ,Active,48.41698705,0.550817789
DTXSID0029559,78491-02-8,C8H14N4O7,278.086249,Inactive,0,0
DTXSID0029688,7720-78-7,FeO4S,151.886666,Inactive,0,0
DTXSID0029761,51580-86-0,C3H4Cl2N3NaO5,254.94257,Inactive,0,0
DTXSID0029848,108419-33-6,, ,Inactive,0,0
DTXSID0030162,24295-03-2,C5H5NOS,127.009185,Inactive,0,0
DTXSID0030588,1994/7/5,C9H13NO2,167.094629,Inactive,0,0
DTXSID0032029,114-49-8,C17H22BrNO4,383.073221,Inactive,0,0
DTXSID0032077,10102-18-8,Na2O3Se,173.880804,Inactive,0,0
DTXSID0032314,51200-87-4,C5H11NO,101.084064,Inactive,0,0
DTXSID0032316,88-04-0,C8H9ClO,156.034193,Inactive,0,0
DTXSID0032493,55219-65-3,C14H18ClN3O2,295.108754,Active,81.0697187,1.407580717
DTXSID0032497,55335-06-3,C7H4Cl3NO3,254.925676,Inactive,0,0
DTXSID0032520,131860-33-8,C22H17N3O5,403.116821,Active,65.5747476,2.064199449
DTXSID0032572,23031-36-9,C19H24O3,300.172545,Active,150.1918364,1.360390688
DTXSID0032578,59669-26-0,C10H18N4O4S3,354.049019,Active,147.5743444,0.501308565
DTXSID0032601,94361-06-5,C15H18ClN3O,291.11384,Active,55.23515497,0.929687942
DTXSID0032605,51338-27-3,C16H14Cl2O4,340.026914,Inactive,0,0
DTXSID0032651,51707-55-2,C9H8N4OS,220.041882,Active,28.22076614,0.504381264
DTXSID0032655,131983-72-7,C17H20ClN3O,317.12949,Active,156.3617617,0.376507443
DTXSID0032811,595-37-9,C6H12O2,116.08373,Inactive,0,0
DTXSID0032813,3970-62-5,C7H16O,116.120115,Inactive,0,0
DTXSID0032869,446-35-5,C6H3F2NO2,159.013185,Inactive,0,0
DTXSID0032998,1119-62-6,C6H10O4S2,210.002051,Inactive,0,0
DTXSID0033047,3446-89-7,C8H8OS,152.029586,Inactive,0,0
DTXSID0033332,70831-56-0,C22H18O12,474.079826,Inactive,0,0
DTXSID0033334,27994-11-2,C35H56O9,620.392433,Inactive,0,0
DTXSID0033382,23541-50-6,C27H30ClNO10,563.155824,Inactive,0,0
DTXSID0033469,82854-37-3,C35H46O20,786.258244,Inactive,0,0
