CASRN,DTXSID,Name,Formula,PPARg_Emax,PPARg_assay,LXR_Emax,LXR_assay,FXR_Emax,FXR_assay,PXR_Emax,PXR_assay,BCF,LogP,Predicted concentration in human blood (μM),
723-46-6,DTXSID8026064,Sulfamethoxazole,C10H11N3O3S,0,0,,,0,0,0,0,17.1002,0.890993,8.03E-05,
80-35-3,DTXSID5023611,Sulfamethoxypyridazine,C11H12N4O3S,0,0,,,0,0,0,0,2.60016,0.322186,0.00327,
1220-83-3,DTXSID8045351,Sulfamonomethoxine,C11H12N4O3S,0,0,,,0,0,0,0,1.99526,0.700242,0.000897,
63-74-1,DTXSID4023622,Sulfanilamide,C6H8N2O2S,0,0,0,0,0,0,0,0,1.71002,-0.614887,0.000986,
122-16-7,DTXSID4045898,Sulfanitran,C14H13N3O5S,0,0,,,0,0,0,0,1.76198,1.82127,0.00114,
526-08-9,DTXSID2044131,Sulfaphenazole,C15H14N4O2S,0,0,,,0,0,0,0,4.79733,1.52128,0.00396,
144-83-2,DTXSID3026067,Sulfapyridine,C11H11N3O2S,0,0,,,0,0,0,0,2.77332,0.352613,7.14E-05,
59-40-5,DTXSID8042424,Sulfaquinoxaline,C14H12N4O2S,0,0,0,0,0,0,0,0,5.33335,1.67962,0.000513,
599-79-1,DTXSID0021256,Sulfasalazine,C18H14N4O5S,0,0,0,0,0,0,0,0,0.845279,2.42528,0.000295,
72-14-0,DTXSID8026068,Sulfathiazole,C9H9N3O2S2,0,0,0,0,0,0,0,0,2.22844,0.0527837,4.88E-05,
515-49-1,DTXSID4046868,Sulfathiourea,C7H9N3O2S2,,,,,,,,,0.413047,-1.28686,0.006,
57-96-5,DTXSID0023618,Sulfinpyrazone,C23H20N2O3S,0,0,,,0,0,161.8635826,0.90069326,5.06991,2.30417,0.000293,
515-64-0,DTXSID1046390,Sulfisomidine,C12H14N4O2S,0,0,,,0,0,0,0,2.55859,-0.324538,0.0011,
127-69-5,DTXSID6021292,Sulfisoxazole,C11H13N3O3S,0,0,0,0,0,0,0,0,4.98884,1.01189,0.00162,
73384-60-8,DTXSID1040617,Sulmazole,C14H13N3O2S,,,,,,,,,7.67361,1.18221,0.000157,
