DTXSID,PREFERRED NAME,CASRN,MOLECULAR FORMULA,MONOISOTOPIC MASS,HIT CALL,LXR_Emax,LXR_assay
DTXSID501339554,AFFF Solberg F2 (1X),NOCAS_1339554,, ,Inactive,0,0
DTXSID50184723,"1H,1H-Perfluorooctylamine",307-29-9,C8H4F15N,399.010422,Inactive,0,0
DTXSID5020027,Acrylamide,1979/6/1,C3H5NO,71.037114,Active,-0.79585826,0.849044732
DTXSID5020029,Acrylonitrile,107-13-1,C3H3N,53.026549,Inactive,0,0
DTXSID5020106,L-Ascorbic acid,50-81-7,C6H8O6,176.032088,Inactive,0,0
DTXSID5020108,Aspirin,50-78-2,C9H8O4,180.042259,Inactive,0,0
DTXSID5020152,Benzyl alcohol,100-51-6,C7H8O,108.057515,Inactive,0,0
DTXSID5020154,Clorophene,120-32-1,C13H11ClO,218.049843,Active,1.074767789,1.541725857
DTXSID5020233,Ergocalciferol,50-14-6,C28H44O,396.339216,Inactive,0,0
DTXSID5020281,1-Chloro-4-nitrobenzene,100-00-5,C6H4ClNO2,156.993056,Inactive,0,0
DTXSID5020283,"4-Chloro-1,2-diaminobenzene",95-83-0,C6H7ClN2,142.029776,Inactive,0,0
DTXSID5020310,Chlorfenson,80-33-1,C12H8Cl2O3S,301.957121,Active,0.923018394,1.044124039
DTXSID5020314,Tetrasul,2227-13-6,C12H6Cl4S,321.894432,Inactive,0,0
DTXSID5020360,N-Cyclohexyl-2-benzothiazolesulfenamide,95-33-0,C13H16N2S2,264.075491,Inactive,0,0
DTXSID5020366,Cyproterone acetate,427-51-0,C24H29ClO4,416.175437,Active,1.888807679,0.966433384
DTXSID5020368,Cytembena,21739-91-3,C11H8BrNaO4,305.950366,Active,1.346904243,1.142185772
DTXSID5020441,"alpha-(2,5-Dichlorophenoxy)propionic acid",6965-71-5,C9H8Cl2O3,233.98505,Inactive,0,0
DTXSID5020443,"2,4-D Butyl ester",94-80-4,C12H14Cl2O3,276.032,Inactive,0,0
DTXSID5020445,"2,4-D isopropyl ester",1994/11/1,C11H12Cl2O3,262.01635,Inactive,0,0
